CustomerID,Lookalike1,Lookalike2,Lookalike3
C0001,"['C0072', 0.9341768025894116]","['C0055', 0.9051761980226743]","['C0190', 0.8973973219559636]"
C0002,"['C0029', 0.9993657222253]","['C0010', 0.9793769179174264]","['C0077', 0.9671046189712535]"
C0003,"['C0166', 0.882415667368542]","['C0160', 0.852148467998654]","['C0052', 0.8350923044516211]"
C0004,"['C0075', 0.9975621414877183]","['C0175', 0.9930015793963254]","['C0156', 0.9875499358585028]"
C0005,"['C0112', 0.9943296671596948]","['C0095', 0.9845163736098492]","['C0197', 0.9806623689531123]"
C0006,"['C0117', 0.9984901469848414]","['C0168', 0.9919972656960704]","['C0185', 0.9314489785322276]"
C0007,"['C0120', 0.9928140759999612]","['C0140', 0.980793943907235]","['C0020', 0.9455009336369218]"
C0008,"['C0090', 0.9354555203602756]","['C0194', 0.9157532743656429]","['C0081', 0.9131547273855428]"
C0009,"['C0083', 0.9929819381429613]","['C0033', 0.9785536638989847]","['C0077', 0.9769369809344848]"
C0010,"['C0029', 0.9827970227880262]","['C0002', 0.9793769179174264]","['C0077', 0.9410304774999938]"
C0011,"['C0064', 0.9930939510749286]","['C0171', 0.9866425808704824]","['C0096', 0.9241587520826626]"
C0012,"['C0104', 0.9463776707388863]","['C0136', 0.9420507741281664]","['C0059', 0.9346673737788855]"
C0013,"['C0099', 0.9850692925524491]","['C0053', 0.9699306004454123]","['C0141', 0.9596782565162951]"
C0014,"['C0128', 0.9959980238494217]","['C0151', 0.9900061436035266]","['C0097', 0.9877265371530201]"
C0015,"['C0131', 0.9963838999982733]","['C0036', 0.994969328768537]","['C0177', 0.9876581245607122]"
C0016,"['C0183', 0.9615246987392884]","['C0107', 0.9395427513200135]","['C0133', 0.7848385709352547]"
C0017,"['C0175', 0.9900448612764485]","['C0004', 0.9790323584891844]","['C0075', 0.9774276291349586]"
C0018,"['C0171', 0.9373082943383435]","['C0082', 0.9180319979746163]","['C0114', 0.9062989235025577]"
C0019,"['C0116', 0.9851725247032022]","['C0174', 0.9645138007533793]","['C0047', 0.902608600321795]"
C0020,"['C0140', 0.9845030793505636]","['C0007', 0.9455009336369218]","['C0078', 0.94343141779398]"
